X_ACC,Y_ACC,Z_ACC,X_GYRO,Y_GYRO,Z_GYRO,Label
-0.20947265625,0.04638671875,-0.859130859375,-1.234375,-0.78125,0.7265625,1
-0.20849609375,0.047607421875,-0.8623046875,-2.78125,0.7265625,0.7734375,1
-0.2119140625,0.044677734375,-0.857421875,-2.671875,0.78125,0.828125,1
-0.212158203125,0.04345703125,-0.85888671875,-2.6484375,0.515625,0.8125,1
-0.211669921875,0.046630859375,-0.8583984375,-1.2265625,0.90625,0.859375,1
-0.21435546875,0.046142578125,-0.859619140625,-1.015625,-0.9140625,0.6953125,1
-0.20849609375,0.042724609375,-0.860107421875,-1.046875,-0.609375,0.5703125,1
-0.206787109375,0.047607421875,-0.860107421875,-2.6640625,-0.75,0.8046875,1
-0.2080078125,0.039794921875,-0.8662109375,-2.8984375,-1.0,0.8359375,1
-0.2080078125,0.045654296875,-0.862548828125,-1.0390625,-0.7890625,0.953125,1
-0.20849609375,0.048095703125,-0.859619140625,-2.8828125,-0.890625,0.8984375,1
-0.20751953125,0.045654296875,-0.8583984375,-2.78125,0.8203125,0.9921875,1
-0.213134765625,0.045166015625,-0.860595703125,-2.9296875,0.8046875,0.7109375,1
-0.20849609375,0.044189453125,-0.86328125,-2.8359375,0.90625,0.8203125,1
-0.211669921875,0.04443359375,-0.85693359375,-2.8515625,0.609375,0.875,1
-0.205322265625,0.044921875,-0.862548828125,-2.765625,-0.78125,0.890625,1
-0.209228515625,0.046630859375,-0.86328125,-2.921875,-0.90625,0.890625,1
-0.2060546875,0.045654296875,-0.854248046875,-2.8046875,0.8984375,0.625,1
-0.211669921875,0.046875,-0.86181640625,-2.8125,0.78125,0.828125,1
-0.205078125,0.048828125,-0.85205078125,-2.5078125,0.640625,0.7265625,1
-0.20849609375,0.04443359375,-0.85791015625,-2.625,0.4296875,0.5546875,1
-0.21337890625,0.048828125,-0.859619140625,-2.046875,-2.2265625,0.734375,1
-0.216064453125,0.049072265625,-0.8623046875,-2.25,-2.0078125,0.7734375,1
-0.15771484375,0.0517578125,-0.855712890625,-2.28125,-1.0,0.9296875,1
-0.217041015625,0.052734375,-0.85791015625,-1.0390625,-0.734375,0.8984375,1
-0.216552734375,0.049560546875,-0.8544921875,-2.9453125,-0.5859375,0.96875,1
-0.2158203125,0.050537109375,-0.859130859375,-2.9453125,-0.921875,0.6484375,1
-0.21826171875,0.05322265625,-0.859619140625,-2.578125,-0.6328125,0.8515625,1
-0.15869140625,0.053955078125,-0.860595703125,-1.1484375,-0.671875,0.5546875,1
-0.21630859375,0.0537109375,-0.8583984375,-1.015625,-0.4609375,0.9921875,1
-0.215576171875,0.051025390625,-0.859375,-1.3125,-0.53125,-0.96875,1
-0.213623046875,0.0498046875,-0.86083984375,-1.015625,-0.390625,0.8359375,1
-0.21533203125,0.05126953125,-0.86376953125,-1.0078125,-0.515625,0.8515625,1
-0.21337890625,0.05078125,-0.85986328125,-1.296875,-0.3203125,0.9375,1
-0.210693359375,0.0517578125,-0.862548828125,-1.1640625,-0.1953125,0.859375,1
-0.210205078125,0.048095703125,-0.854736328125,-1.171875,-0.4609375,0.765625,1
-0.212158203125,0.048828125,-0.859375,-1.0703125,-0.6171875,0.671875,1
-0.2080078125,0.046630859375,-0.861328125,-1.234375,-0.515625,-0.9453125,1
-0.2060546875,0.05078125,-0.86083984375,-1.03125,-0.9765625,-0.984375,1
